Agglomeration;Region ;Departement;Nb hab
Agglomération de La Rochelle;Nouvelle Aquitaine;Charente Maritime;175_608
Agglomération de Besançon;Bourgogne-Franche-Comte;Doubs;195_745
Agglomération de Montbéliard;Bourgogne-Franche-Comte;Doubs;139_970
Agglomération de Brest;Bretagne;Finistere;211_156
Agglomération d'Ajaccio;Corse;Corse du sud;88_483
Agglomération de Bastia;Corse;Haute corse;62_240
Agglomération de Nîmes;Occitanie;Gard;257_666
Agglomération de Toulouse;Occitanie;Haute garonne;1_400_000
Agglomération de Bordeaux;Nouvelle Aquitaine;Gironde;262_147
Agglomération de Montpellier;Occitanie;Herault;299_096
Agglomération de Sète;Occitanie;Herault;43_858
Agglomération de Rennes;Bretagne;Ille et Vilaine;462_580
Agglomération de Vitré;Bretagne;Ille et Vilaine;81_689
Agglomération de Saint-Malo;Bretagne;Ille et Vilaine;84_638
Agglomération de Grenoble;Auvergne-Rhone-Alpes;Isere;433_000
Sud Loire - proche Haute-Loire;Auvergne-Rhone-Alpes;Loire;405_479
Agglomération de Nantes;Pays de la loire;Loire-Atlantique;656_275
Agglomération de Nancy;Grand Est;Meurthe-et-Moselle;257_915
Golfe du Morbihan - Vannes Agglomération;Bretagne;Morbihan;171_704
Lorient Agglomération;Bretagne;Morbihan;205_008
Auray Quiberon Terre Atlantique;Bretagne;Morbihan;88_405
Agglomération de Lille;Hauts-de-France;Nord;1_179_050
Agglomération d'Alençon;Normandie;Orne;56_001
Agglomération d'Arras;Hauts-de-France;Pas-de-Calais;108_712
Unité urbaine de l'agglomération de Bayonne;Nouvelle Aquitaine;Pyrenees-Atlantiques;315_195
Eurométropole de Strasbourg;Alsace-Champagne-Ardenne-Lorraine;Bas-Rhin;846_450
Agglomération de Lyon;Auvergne-Rhone-Alpes;Rhone;1_307_000
Agglomération de Chalon-sur-Saône;Bourgogne-Franche-Comte;Saone-et-Loire;79_743
Agglomération de Mâcon;Bourgogne-Franche-Comte;Saone-et-Loire;78_281
Agglomération parisienne;Ile-de-France;;10_700_000
Paris intra-muros;Ile-de-France;Paris;8_434_114
Agglomération parisienne (hors Paris);Ile-de-France;Hors Paris;2_265_886
Agglomération de Toulon;Provence-Alpes-Cote d'Azur;Bouches-du-Rhone;450_441
Agglomération de Draguignan;Provence-Alpes-Cote d'Azur;Var;108_026
Agglomération de Fréjus;Provence-Alpes-Cote d'Azur;Var;116_268
Communes non TLV;Communes non TLV;Communes non TLV;
La Roche-sur-Yon Agglomération;Pays de la loire;Vendee;97_771
Les Sables d'Olonne Agglomération;Pays de la loire;Vendee;55_016
Pays de Challans;Pays de la loire;Vendee;47_909
Pays de Saint Gilles Croix de Vie;Pays de la loire;Vendee;50_311
Agglomération de Cap Excellence;Guadeloupe;Guadeloupe;99_532
Agglomération CINOR;La Reunion;La Reunion;211_936
Agglomération TCO;La Reunion;La Reunion;210_771
Agglomération CIVIS;La Reunion;La Reunion;181_534
Agglomération CASUD;La Reunion;La Reunion;117_691
Agglomération CIREST;La Reunion;La Reunion;127_102
